,source,target,contraction
1453,Small-World Phenomenon,Narrowcasting,0
1454,Small-World Phenomenon,Natter (Social Network),0
1455,Small-World Phenomenon,Netlog,0
1456,Small-World Phenomenon,Network Theory,0
1457,Small-World Phenomenon,Nextdoor,0
1458,Small-World Phenomenon,Ning (Website),0
1459,Small-World Phenomenon,Nobel Prize,0
1460,Small-World Phenomenon,Nostr,0
1461,Small-World Phenomenon,Ostatus,0
1462,Small-World Phenomenon,Odnoklassniki,0
1463,Small-World Phenomenon,Online Dating,0
1464,Small-World Phenomenon,Online Identity,0
1465,Small-World Phenomenon,Online Petition,0
1466,Small-World Phenomenon,Open-Access Poll,0
1467,Small-World Phenomenon,Opensocial,0
1468,Small-World Phenomenon,Organizational Network Analysis,0
1469,Small-World Phenomenon,Orkut,0
1470,Small-World Phenomenon,Overchoice,0
1471,Small-World Phenomenon,Pmc (Identifier),0
1472,Small-World Phenomenon,Parler,0
1473,Small-World Phenomenon,Path (Social Network),0
1474,Small-World Phenomenon,Paul Erdős,0
1475,Small-World Phenomenon,Peach (Social Network),0
1476,Small-World Phenomenon,Peer Pressure,0
1477,Small-World Phenomenon,Percolation Theory,0
1478,Small-World Phenomenon,Periscope (Service),0
1479,Small-World Phenomenon,Persona (User Experience),0
1480,Small-World Phenomenon,Personal Knowledge Networking,0
1481,Small-World Phenomenon,Personal Network,0
1482,Small-World Phenomenon,Pheed,0
1483,Small-World Phenomenon,Piczo,0
1484,Small-World Phenomenon,Pinterest,0
1485,Small-World Phenomenon,Pixnet,0
1486,Small-World Phenomenon,Planetall,0
1487,Small-World Phenomenon,Pleroma (Software),0
1488,Small-World Phenomenon,Plurk,0
1489,Small-World Phenomenon,Posterous,0
1490,Small-World Phenomenon,Pownce,0
1491,Small-World Phenomenon,Privacy Concerns With Social Networking Services,0
1492,Small-World Phenomenon,Problematic Social Media Use,0
1493,Small-World Phenomenon,Professional Network Service,0
1494,Small-World Phenomenon,Promo.Com,0
1495,Small-World Phenomenon,Pump.Io,0
1496,Small-World Phenomenon,Qaiku,0
1497,Small-World Phenomenon,Qzone,0
1498,Small-World Phenomenon,Random Graph,0
1499,Small-World Phenomenon,Random Walk,0
1500,Small-World Phenomenon,Readgeek,0
1501,Small-World Phenomenon,Reblogging,0
1502,Small-World Phenomenon,Renren,0
1503,Small-World Phenomenon,Reputation System,0
1504,Small-World Phenomenon,Researchgate,0
1505,Small-World Phenomenon,Sciencescape,0
1506,Small-World Phenomenon,Sexual Network,0
1507,Small-World Phenomenon,Shaadi.Com,0
1508,Small-World Phenomenon,Sharechat,0
1509,Small-World Phenomenon,Sharing Economy,0
1510,Small-World Phenomenon,Shortest Path Problem,0
1511,Small-World Phenomenon,Shuffles By Pinterest,0
1512,Small-World Phenomenon,Sixdegrees.Com,0
1513,Small-World Phenomenon,Six Degrees: The Science Of A Connected Age,0
1514,Small-World Phenomenon,Six Degrees Of Kevin Bacon,0
1515,Small-World Phenomenon,Six Degrees Of Separation,0
1516,Small-World Phenomenon,Skyrock (Social Network Site),0
1517,Small-World Phenomenon,Small-World Network,0
1518,Small-World Phenomenon,Snapchat,0
1519,Small-World Phenomenon,Snow (App),0
1520,Small-World Phenomenon,So.Cl,0
1521,Small-World Phenomenon,Social Aspects Of Television,0
1522,Small-World Phenomenon,Social Bot,0
1523,Small-World Phenomenon,Social Capital,0
1524,Small-World Phenomenon,Social Commerce,0
1525,Small-World Phenomenon,Social Data Revolution,0
1526,Small-World Phenomenon,Social Exchange Theory,0
1527,Small-World Phenomenon,Social Graph,0
1528,Small-World Phenomenon,Social Identity Theory,0
1529,Small-World Phenomenon,Social Invisibility,0
1530,Small-World Phenomenon,Social Media,0
1531,Small-World Phenomenon,Social Media Addiction,0
1532,Small-World Phenomenon,Social Media Analytics,0
1533,Small-World Phenomenon,Social Media And Psychology,0
1534,Small-World Phenomenon,Social Media And Suicide,0
1535,Small-World Phenomenon,Social Media Intelligence,0
1536,Small-World Phenomenon,Social Media Mining,0
1537,Small-World Phenomenon,Social Media Optimization,0
1538,Small-World Phenomenon,Social Media Use In Politics,0
1539,Small-World Phenomenon,Social Mobility,0
1540,Small-World Phenomenon,Social Network,0
1541,Small-World Phenomenon,Social Network Advertising,0
1542,Small-World Phenomenon,Social Network Aggregation,0
1543,Small-World Phenomenon,Social Network Analysis,0
1544,Small-World Phenomenon,Social Network Analysis Software,0
1545,Small-World Phenomenon,Social Network Change Detection,0
1546,Small-World Phenomenon,Social Network Game,0
1547,Small-World Phenomenon,Social Network Hosting Service,0
1548,Small-World Phenomenon,Social Networking Potential,0
1549,Small-World Phenomenon,Social Networking Service,0
1550,Small-World Phenomenon,Social Profiling,0
1551,Small-World Phenomenon,Social Sorting,0
1552,Small-World Phenomenon,Social Television,0
1553,Small-World Phenomenon,Social Web,0
1554,Small-World Phenomenon,Solaborate,0
1555,Small-World Phenomenon,Spaces (Social Network),0
1556,Small-World Phenomenon,Spotify Live,0
1557,Small-World Phenomenon,Spring.Me,0
1558,Small-World Phenomenon,Stanley Milgram,0
1559,Small-World Phenomenon,Steven Strogatz,0
1560,Small-World Phenomenon,Story (Social Media),0
1561,Small-World Phenomenon,Streetlife (Website),0
1562,Small-World Phenomenon,Strongly Connected Component,0
1563,Small-World Phenomenon,Structural Cohesion,0
1564,Small-World Phenomenon,Structural Endogamy,0
1565,Small-World Phenomenon,Studivz,0
1566,Small-World Phenomenon,Suicide And The Internet,0
1567,Small-World Phenomenon,Surfbook,0
1568,Small-World Phenomenon,Tv Time,0
1569,Small-World Phenomenon,Tagged (Website),0
1570,Small-World Phenomenon,Tal Canal,0
1571,Small-World Phenomenon,Talkbits,0
1572,Small-World Phenomenon,Taringa!,0
1573,Small-World Phenomenon,Tbh,0
1574,Small-World Phenomenon,Tea Party Community,0
1575,Small-World Phenomenon,Tellonym,0
1576,Small-World Phenomenon,The Meet Group,0
1577,Small-World Phenomenon,Third Voice,0
1578,Small-World Phenomenon,Thirst Trap,0
1579,Small-World Phenomenon,Threads (Social Network),0
1580,Small-World Phenomenon,Tiktok,0
1581,Small-World Phenomenon,Tinder (App),0
1582,Small-World Phenomenon,Tout (Company),0
1583,Small-World Phenomenon,Tribe.Net,0
1584,Small-World Phenomenon,Tribe (Internet),0
1585,Small-World Phenomenon,Triller (App),0
1586,Small-World Phenomenon,Truth Social,0
1587,Small-World Phenomenon,Tuenti,0
1588,Small-World Phenomenon,Tumblr,0
1589,Small-World Phenomenon,Tvtag,0
1590,Small-World Phenomenon,Twitter,0
1591,Small-World Phenomenon,Untappd,0
1592,Small-World Phenomenon,Use Of Social Network Websites In Investigations,0
1593,Small-World Phenomenon,User Interface,0
1594,Small-World Phenomenon,User Profile,0
1595,Small-World Phenomenon,Vk (Service),0
1596,Small-World Phenomenon,Value Network,0
1597,Small-World Phenomenon,Vero (App),0
1598,Small-World Phenomenon,Viadeo,0
1599,Small-World Phenomenon,Vine (Service),0
1600,Small-World Phenomenon,Viral Marketing,0
1601,Small-World Phenomenon,Viral Messages,0
1602,Small-World Phenomenon,Viral Phenomenon,0
1603,Small-World Phenomenon,Virtual Collective Consciousness,0
1604,Small-World Phenomenon,Virtual Community,0
1605,Small-World Phenomenon,Viva Engage,0
1606,Small-World Phenomenon,Wall.Fm,0
1607,Small-World Phenomenon,Watts–Strogatz Model,0
1608,Small-World Phenomenon,Wayback Machine,0
1609,Small-World Phenomenon,Web 2.0 Suicide Machine,0
1610,Small-World Phenomenon,Weibo,0
1611,Small-World Phenomenon,Whisper (App),0
1612,Small-World Phenomenon,White-Label Product,0
1613,Small-World Phenomenon,Windows Live Spaces,0
1614,Small-World Phenomenon,Wretch (Website),0
1615,Small-World Phenomenon,Xing,0
1616,Small-World Phenomenon,Xmpp,0
1617,Small-World Phenomenon,Xanga,0
1618,Small-World Phenomenon,Xiaohongshu,0
1619,Small-World Phenomenon,Yahoo 360°,0
1620,Small-World Phenomenon,Yahoo Kickstart,0
1621,Small-World Phenomenon,Yahoo Mash,0
1622,Small-World Phenomenon,Yahoo Meme,0
1623,Small-World Phenomenon,Yik Yak,0
1624,Small-World Phenomenon,Yo (App),0
1625,Small-World Phenomenon,Scale-Free Network,0
1626,Small-World Phenomenon,Epidemic,0
1627,Small-World Phenomenon,Social Group,0
1628,Small-World Phenomenon,Carnegie-Mellon University,0
1629,Topological,Algebra,0
1630,Topological,Algebraic Geometry,0
1631,Topological,Algebraic Topology,0
1632,Topological,Applied Mathematics,0
1633,Topological,Calculus,0
1634,Topological,Category Theory,0
1635,Topological,Combinatorics,0
1636,Topological,Computational Complexity Theory,0
1637,Topological,Computational Mathematics,0
1638,Topological,Computer Science,0
1639,Topological,Connectedness,0
1640,Topological,Continuous Function,0
1641,Topological,Control Theory,0
1642,Topological,Differential Equation,0
1643,Topological,Differential Topology,0
1644,Topological,Discrete Mathematics,0
1645,Topological,Elementary Algebra,0
1646,Topological,Euclidean Space,0
1647,Topological,Eulerian Path,0
1648,Topological,Function (Mathematics),0
1649,Topological,Game Theory,0
1650,Topological,Geometric Topology,0
1651,Topological,Geometry,0
1652,Topological,Gottfried Wilhelm Leibniz,0
1653,Topological,Graph Theory,0
1654,Topological,Greek Language,0
1655,Topological,Henri Poincaré,0
1656,Topological,Issn (Identifier),0
1657,Topological,Information Theory,0
1658,Topological,Jstor (Identifier),0
1659,Topological,Kazimierz Kuratowski,0
1660,Topological,Leonhard Euler,0
1661,Topological,Manifold,0
1662,Topological,Materials Science,0
1663,Topological,Mathematical Analysis,0
1664,Topological,Mathematical And Theoretical Biology,0
1665,Topological,Mathematical Economics,0
1666,Topological,Mathematical Finance,0
1667,Topological,Mathematical Logic,0
1668,Topological,Mathematical Object,0
1669,Topological,Mathematical Optimization,0
1670,Topological,Mathematical Psychology,0
1671,Topological,Mathematical Sociology,0
1672,Topological,Mathematical Statistics,0
1673,Topological,Mathematics,0
1674,Topological,Metric (Mathematics),0
1675,Topological,Metric Space,0
1676,Topological,Nature (Journal),0
1677,Topological,Numerical Analysis,0
1678,Topological,Oclc (Identifier),0
1679,Topological,Operations Research,0
1680,Topological,Order Theory,0
1681,Topological,Pmc (Identifier),0
1682,Topological,Probability Theory,0
1683,Topological,Quantum Computing,0
1684,Topological,Real Number,0
1685,Topological,S2Cid (Identifier),0
1686,Topological,Set (Mathematics),0
1687,Topological,Set Theory,0
1688,Topological,Seven Bridges Of Königsberg,0
1689,Topological,Subset,0
1690,Topological,Systems Science,0
1691,Topological,Theory Of Computation,0
1692,Topological,Topological Space,0
1693,Topological,Type Theory,0
1694,Topological,Vector Space,0
1695,Topological,Wayback Machine,0
1696,Topological,Zbl (Identifier),0
1697,Topological,Statistic,0
1698,Topological,Molecule,0
1699,Topological,Mathematician,0
1700,Dependency Network,Adjacency Matrix,0
1701,Dependency Network,Correlation,0
1702,Dependency Network,Graph (Discrete Mathematics),0
1703,Dependency Network,Hierarchical Clustering,0
1704,Dependency Network,Issn (Identifier),0
1705,Dependency Network,Immune System,0
1706,Dependency Network,Network Topology,0
1707,Dependency Network,Pmc (Identifier),0
1708,Dependency Network,Topology,0
1709,Dependency Network,Wayback Machine,0
1710,Dependency Network,Semantic Network,0
1711,Incidence List,Adjacency Matrix,0
1712,Incidence List,Charles E. Leiserson,0
1713,Incidence List,Clifford Stein,0
1714,Incidence List,Computer Science,0
1715,Incidence List,Dgml,0
1716,Incidence List,Dot (Graph Description Language),0
1717,Incidence List,Degree (Graph Theory),0
1718,Incidence List,Edge List,0
1719,Incidence List,Gxl,0
1720,Incidence List,Graphml,0
1721,Incidence List,Graph (Abstract Data Type),0
1722,Incidence List,Graph (Discrete Mathematics),0
1723,Incidence List,Graph Modelling Language,0
1724,Incidence List,Graph Database,0
1725,Incidence List,Graph Drawing,0
1726,Incidence List,Graph Theory,0
1727,Incidence List,Hash Table,0
1728,Incidence List,Incidence Matrix,0
1729,Incidence List,Introduction To Algorithms,0
1730,Incidence List,Lcf Notation,0
1731,Incidence List,Linked Data,0
1732,Incidence List,Locality Of Reference,0
1733,Incidence List,Matrix (Mathematics),0
1734,Incidence List,Michael T. Goodrich,0
1735,Incidence List,Newick Format,0
1736,Incidence List,Roberto Tamassia,0
1737,Incidence List,Ronald L. Rivest,0
1738,Incidence List,Sparse Graph,0
1739,Incidence List,Thomas H. Cormen,0
1740,Incidence List,Trivial Graph Format,0
1741,Incidence List,Vertex (Graph Theory),0
1742,Incidence List,Xgmml,0
1743,Hierarchy,Adam Smith,0
1744,Hierarchy,Alexis De Tocqueville,0
1745,Hierarchy,American Philosophical Society,0
1746,Hierarchy,Ancient Greek,0
1747,Hierarchy,Aristotle,0
1748,Hierarchy,Auguste Comte,0
1749,Hierarchy,Bifurcation Theory,0
1750,Hierarchy,Biological Organisation,0
1751,Hierarchy,Calculus,0
1752,Hierarchy,Capitalism,0
1753,Hierarchy,Category Theory,0
1754,Hierarchy,Charles Taylor (Philosopher),0
1755,Hierarchy,Citeseerx (Identifier),0
1756,Hierarchy,Cognition,0
1757,Hierarchy,Common Good,0
1758,Hierarchy,Communitarianism,0
1759,Hierarchy,Complexity,0
1760,Hierarchy,Computer Animation,0
1761,Hierarchy,Computer Program,0
1762,Hierarchy,Computer Science,0
1763,Hierarchy,Concept,0
1764,Hierarchy,Conflict Theories,0
1765,Hierarchy,Cycle (Graph Theory),0
1766,Hierarchy,Data Structure,0
1767,Hierarchy,Degree (Graph Theory),0
1768,Hierarchy,Democracy In America,0
1769,Hierarchy,Differential Equation,0
1770,Hierarchy,Dissipative Structures,0
1771,Hierarchy,Distance (Graph Theory),0
1772,Hierarchy,Edmund Burke,0
1773,Hierarchy,Elementary Algebra,0
1774,Hierarchy,Epistemology,0
1775,Hierarchy,Erich Fromm,0
1776,Hierarchy,Fractal,0
1777,Hierarchy,Friedrich Hayek,0
1778,Hierarchy,Georg Wilhelm Friedrich Hegel,0
1779,Hierarchy,Glossary Of Graph Theory,0
1780,Hierarchy,Gottfried Wilhelm Leibniz,0
1781,Hierarchy,Graph Theory,0
1782,Hierarchy,Gustave Le Bon,0
1783,Hierarchy,Hdl (Identifier),0
1784,Hierarchy,Herbert Spencer,0
1785,Hierarchy,Hierarchical Clustering,0
1786,Hierarchy,Human,0
1787,Hierarchy,Issn (Identifier),0
1788,Hierarchy,Interpersonal Relationship,0
1789,Hierarchy,Jstor (Identifier),0
1790,Hierarchy,Jean-Jacques Rousseau,0
1791,Hierarchy,John Stuart Mill,0
1792,Hierarchy,Jurisprudence,0
1793,Hierarchy,Jürgen Habermas,0
1794,Hierarchy,Karl Marx,0
1795,Hierarchy,Law,0
1796,Hierarchy,Maslow'S Hierarchy Of Needs,0
1797,Hierarchy,Mathematics,0
1798,Hierarchy,Matter,0
1799,Hierarchy,Max Weber,0
1800,Hierarchy,Michael Walzer,0
1801,Hierarchy,Michel Foucault,0
1802,Hierarchy,Molecule,0
1803,Hierarchy,Multiculturalism,0
1804,Hierarchy,Nature,0
1805,Hierarchy,Neuron,0
1806,Hierarchy,Noam Chomsky,0
1807,Hierarchy,Organization,0
1808,Hierarchy,Organizational Chart,0
1809,Hierarchy,Pmc (Identifier),0
1810,Hierarchy,Path (Graph Theory),0
1811,Hierarchy,Philosophy,0
1812,Hierarchy,Plato,0
1813,Hierarchy,Political Philosophy,0
1814,Hierarchy,Political Science,0
1815,Hierarchy,Power (Social And Political),0
1816,Hierarchy,Radial Tree,0
1817,Hierarchy,Ramon Llull,0
1818,Hierarchy,Ranking,0
1819,Hierarchy,Raymond Aron,0
1820,Hierarchy,S2Cid (Identifier),0
1821,Hierarchy,Self-Similarity,0
1822,Hierarchy,Set (Mathematics),0
1823,Hierarchy,Set Theory,0
1824,Hierarchy,Social Darwinism,0
1825,Hierarchy,Social Organization,0
1826,Hierarchy,Social Stratification,0
1827,Hierarchy,Society,0
1828,Hierarchy,System,0
1829,Hierarchy,Systems Theory,0
1830,Hierarchy,Thomas Aquinas,0
1831,Hierarchy,Transitive Relation,0
1832,Hierarchy,Tree (Graph Theory),0
1833,Hierarchy,Tree Structure,0
1834,Hierarchy,Treemapping,0
1835,Hierarchy,Vertex (Graph Theory),0
1836,Hierarchy,Vilfredo Pareto,0
1837,Hierarchy,William James,0
1838,Hierarchy,Zygmunt Bauman,0
1839,Hierarchy,Social Science,0
1840,Hierarchy,Ecosystem,0
1841,Hierarchy,Biological System,0
1842,Hierarchy,Thermodynamic,0
1843,Hierarchy,Carnegie-Mellon University,0
1844,Random Graph Theory Of Gelation,Alfréd Rényi,0
1845,Random Graph Theory Of Gelation,Configuration Model,0
1846,Random Graph Theory Of Gelation,Degree Distribution,0
1847,Random Graph Theory Of Gelation,Edgar Gilbert,0
1848,Random Graph Theory Of Gelation,Pmc (Identifier),0
1849,Random Graph Theory Of Gelation,Paul Erdős,0
1850,Random Graph Theory Of Gelation,Random Graph,0
1851,Random Graph Theory Of Gelation,S2Cid (Identifier),0
1852,Percolation,Béla Bollobás,0
1853,Percolation,Citeseerx (Identifier),0
1854,Percolation,Combinatorics,0
1855,Percolation,Complex Network,0
1856,Percolation,Epidemiology,0
1857,Percolation,Fractal,0
1858,Percolation,Giant Component,0
1859,Percolation,Issn (Identifier),0
1860,Percolation,Immunization,0
1861,Percolation,Mark Newman,0
1862,Percolation,Materials Science,0
1863,Percolation,Network Theory,0
1864,Percolation,Pmc (Identifier),0
1865,Percolation,Percolation Theory,0
1866,Percolation,Percolation Threshold,0
1867,Percolation,Phase Transition,0
1868,Percolation,Physical Review Letters,0
1869,Percolation,Physics,0
1870,Percolation,S2Cid (Identifier),0
1871,Percolation,Self-Organization,0
1872,Percolation,Self-Organized Criticality,0
1873,Percolation,Statistical Physics,0
1874,Percolation,Universality (Dynamical Systems),0
1875,Percolation,Wayback Machine,0
1876,Percolation,Critical Exponent,0
1877,Random Regular Graph,Adjacency Matrix,0
1878,Random Regular Graph,Biregular Graph,0
1879,Random Regular Graph,Complete Graph,0
1880,Random Regular Graph,Cubic Graph,0
1881,Random Regular Graph,Cycle (Graph Theory),0
1882,Random Regular Graph,Cycle Graph,0
1883,Random Regular Graph,Degree (Graph Theory),0
1884,Random Regular Graph,Directed Graph,0
1885,Random Regular Graph,Disjoint Union Of Graphs,0
1886,Random Regular Graph,Eigenvalue,0
1887,Random Regular Graph,Eigenvector,0
1888,Random Regular Graph,Eric W. Weisstein,0
1889,Random Regular Graph,Glossary Of Graph Theory,0
1890,Random Regular Graph,Graph (Discrete Mathematics),0
1891,Random Regular Graph,Graph Automorphism,0
1892,Random Regular Graph,Graph Theory,0
1893,Random Regular Graph,Hamiltonian Cycle,0
1894,Random Regular Graph,Issn (Identifier),0
1895,Random Regular Graph,Indegree,0
1896,Random Regular Graph,Journal Of Graph Theory,0
1897,Random Regular Graph,Mr (Identifier),0
1898,Random Regular Graph,Mathworld,0
1899,Random Regular Graph,Moore Graph,0
1900,Random Regular Graph,Outdegree,0
1901,Random Regular Graph,Strongly Regular Graph,0
1902,Random Regular Graph,Vertex-Transitive Graph,0
1903,Random Regular Graph,Vertex (Graph Theory),0
1904,Random Geometric Graph,Adjacency List,0
1905,Random Geometric Graph,Adjacency Matrix,0
1906,Random Geometric Graph,Agent-Based Model,0
1907,Random Geometric Graph,Artificial Neural Network,0
1908,Random Geometric Graph,Assortativity,0
1909,Random Geometric Graph,Balance Theory,0
1910,Random Geometric Graph,Barabási–Albert Model,0
1911,Random Geometric Graph,Bianconi–Barabási Model,0
1912,Random Geometric Graph,Biological Network,0
1913,Random Geometric Graph,Bipartite Graph,0
1914,Random Geometric Graph,Blockmodeling,0
1915,Random Geometric Graph,Boolean Network,0
1916,Random Geometric Graph,Centrality,0
1917,Random Geometric Graph,Clique (Graph Theory),0
1918,Random Geometric Graph,Clustering Coefficient,0
1919,Random Geometric Graph,Combinatorial Optimization,0
1920,Random Geometric Graph,Community Structure,0
1921,Random Geometric Graph,Complete Graph,0
1922,Random Geometric Graph,Complex Contagion,0
1923,Random Geometric Graph,Complex Network,0
1924,Random Geometric Graph,Computer Network,0
1925,Random Geometric Graph,Connected Component (Graph Theory),0
1926,Random Geometric Graph,Cut (Graph Theory),0
1927,Random Geometric Graph,Cycle (Graph Theory),0
1928,Random Geometric Graph,Degree (Graph Theory),0
1929,Random Geometric Graph,Degree Distribution,0
1930,Random Geometric Graph,Dependency Network,0
1931,Random Geometric Graph,Directed Graph,0
1932,Random Geometric Graph,Distance (Graph Theory),0
1933,Random Geometric Graph,Edgar Gilbert,0
1934,Random Geometric Graph,Edge (Graph Theory),0
1935,Random Geometric Graph,Efficiency (Network Science),0
1936,Random Geometric Graph,Epidemic Model,0
1937,Random Geometric Graph,Erdős–Rényi Model,0
1938,Random Geometric Graph,Evolving Networks,0
1939,Random Geometric Graph,Fitness Model (Network Theory),0
1940,Random Geometric Graph,Flow Network,0
1941,Random Geometric Graph,Geometric Graph Theory,0
1942,Random Geometric Graph,Graph (Abstract Data Type),0
1943,Random Geometric Graph,Graph (Discrete Mathematics),0
1944,Random Geometric Graph,Graph Drawing,0
1945,Random Geometric Graph,Graph Theory,0
1946,Random Geometric Graph,Hamiltonian Path,0
1947,Random Geometric Graph,Hierarchical Network Model,0
1948,Random Geometric Graph,Homophily,0
1949,Random Geometric Graph,Hyperbolic Geometric Graph,0
1950,Random Geometric Graph,Hypergraph,0
1951,Random Geometric Graph,Incidence List,0
1952,Random Geometric Graph,Incidence Matrix,0
1953,Random Geometric Graph,Interdependent Networks,0
1954,Random Geometric Graph,Labeled Graph,0
1955,Random Geometric Graph,Lancichinetti–Fortunato–Radicchi Benchmark,0
1956,Random Geometric Graph,Link Analysis,0
1957,Random Geometric Graph,Loop (Graph Theory),0
1958,Random Geometric Graph,Mr (Identifier),0
1959,Random Geometric Graph,Maximum-Entropy Random Graph Model,0
1960,Random Geometric Graph,Metric Space,0
1961,Random Geometric Graph,Metrics (Networking),0
1962,Random Geometric Graph,Modularity (Networks),0
1963,Random Geometric Graph,Multigraph,0
1964,Random Geometric Graph,Neighbourhood (Graph Theory),0
1965,Random Geometric Graph,Network Controllability,0
1966,Random Geometric Graph,Network Effect,0
1967,Random Geometric Graph,Network Motif,0
1968,Random Geometric Graph,Network On A Chip,0
1969,Random Geometric Graph,Network Science,0
1970,Random Geometric Graph,Network Theory,0
1971,Random Geometric Graph,Node (Graph Theory),0
1972,Random Geometric Graph,Oclc (Identifier),0
1973,Random Geometric Graph,Path (Graph Theory),0
1974,Random Geometric Graph,Percolation Theory,0
1975,Random Geometric Graph,Preferential Attachment,0
1976,Random Geometric Graph,Random Graph,0
1977,Random Geometric Graph,Reciprocity (Network Science),0
1978,Random Geometric Graph,S2Cid (Identifier),0
1979,Random Geometric Graph,Sir Model,0
1980,Random Geometric Graph,Scalability,0
1981,Random Geometric Graph,Scale-Free Network,0
1982,Random Geometric Graph,Scientific Collaboration Network,0
1983,Random Geometric Graph,Semantic Network,0
1984,Random Geometric Graph,Small-World Network,0
1985,Random Geometric Graph,Social Capital,0
1986,Random Geometric Graph,Social Influence,0
1987,Random Geometric Graph,Social Network,0
1988,Random Geometric Graph,Social Network Analysis Software,0
1989,Random Geometric Graph,Soft Configuration Model,0
1990,Random Geometric Graph,Spatial Network,0
1991,Random Geometric Graph,Stochastic Block Model,0
1992,Random Geometric Graph,Telecommunications Network,0
1993,Random Geometric Graph,Transitive Relation,0
1994,Random Geometric Graph,Transport Network,0
1995,Random Geometric Graph,Triadic Closure,0
1996,Random Geometric Graph,Undirected Graph,0
1997,Random Geometric Graph,Vertex (Graph Theory),0
1998,Random Geometric Graph,Watts–Strogatz Model,0
1999,Random Geometric Graph,Weighted Graph,0
2000,Random Geometric Graph,Exponential Random Graph Model,0
2001,Scientific Collaboration Network,Adjacency List,0
2002,Scientific Collaboration Network,Adjacency Matrix,0
2003,Scientific Collaboration Network,Agent-Based Model,0
2004,Scientific Collaboration Network,Artificial Neural Network,0
2005,Scientific Collaboration Network,Assortativity,0
2006,Scientific Collaboration Network,Balance Theory,0
2007,Scientific Collaboration Network,Barabási–Albert Model,0
2008,Scientific Collaboration Network,Bianconi–Barabási Model,0
2009,Scientific Collaboration Network,Biological Network,0
2010,Scientific Collaboration Network,Bipartite Graph,0
2011,Scientific Collaboration Network,Blockmodeling,0
2012,Scientific Collaboration Network,Boolean Network,0
2013,Scientific Collaboration Network,Centrality,0
2014,Scientific Collaboration Network,Clique (Graph Theory),0
2015,Scientific Collaboration Network,Clustering Coefficient,0
2016,Scientific Collaboration Network,Combinatorial Optimization,0
2017,Scientific Collaboration Network,Community Structure,0
2018,Scientific Collaboration Network,Complete Graph,0
2019,Scientific Collaboration Network,Complex Contagion,0
2020,Scientific Collaboration Network,Complex Network,0
2021,Scientific Collaboration Network,Computer Network,0
2022,Scientific Collaboration Network,Connected Component (Graph Theory),0
2023,Scientific Collaboration Network,Cut (Graph Theory),0
2024,Scientific Collaboration Network,Cycle (Graph Theory),0
2025,Scientific Collaboration Network,Degree (Graph Theory),0
2026,Scientific Collaboration Network,Degree Distribution,0
2027,Scientific Collaboration Network,Dependency Network,0
2028,Scientific Collaboration Network,Directed Graph,0
2029,Scientific Collaboration Network,Distance (Graph Theory),0
2030,Scientific Collaboration Network,Edge (Graph Theory),0
2031,Scientific Collaboration Network,Efficiency (Network Science),0
2032,Scientific Collaboration Network,Epidemic Model,0
2033,Scientific Collaboration Network,Erdős–Rényi Model,0
2034,Scientific Collaboration Network,Evolving Networks,0
2035,Scientific Collaboration Network,Fitness Model (Network Theory),0
2036,Scientific Collaboration Network,Flow Network,0
2037,Scientific Collaboration Network,Graph (Abstract Data Type),0
2038,Scientific Collaboration Network,Graph (Discrete Mathematics),0
2039,Scientific Collaboration Network,Graph Drawing,0
2040,Scientific Collaboration Network,Hierarchical Network Model,0
2041,Scientific Collaboration Network,Homophily,0
2042,Scientific Collaboration Network,Hyperbolic Geometric Graph,0
2043,Scientific Collaboration Network,Hypergraph,0
2044,Scientific Collaboration Network,Incidence List,0
2045,Scientific Collaboration Network,Incidence Matrix,0
2046,Scientific Collaboration Network,Interdependent Networks,0
2047,Scientific Collaboration Network,Labeled Graph,0
2048,Scientific Collaboration Network,Lancichinetti–Fortunato–Radicchi Benchmark,0
2049,Scientific Collaboration Network,Link Analysis,0
2050,Scientific Collaboration Network,Loop (Graph Theory),0
2051,Scientific Collaboration Network,Mark Newman,0
2052,Scientific Collaboration Network,Maximum-Entropy Random Graph Model,0
2053,Scientific Collaboration Network,Metrics (Networking),0
2054,Scientific Collaboration Network,Modularity (Networks),0
2055,Scientific Collaboration Network,Multigraph,0
2056,Scientific Collaboration Network,Neighbourhood (Graph Theory),0
2057,Scientific Collaboration Network,Network Controllability,0
2058,Scientific Collaboration Network,Network Effect,0
2059,Scientific Collaboration Network,Network Motif,0
2060,Scientific Collaboration Network,Network On A Chip,0
2061,Scientific Collaboration Network,Network Science,0
2062,Scientific Collaboration Network,Network Theory,0
2063,Scientific Collaboration Network,Pmc (Identifier),0
2064,Scientific Collaboration Network,Path (Graph Theory),0
2065,Scientific Collaboration Network,Percolation Theory,0
2066,Scientific Collaboration Network,Preferential Attachment,0
2067,Scientific Collaboration Network,Random Geometric Graph,0
2068,Scientific Collaboration Network,Random Graph,0
2069,Scientific Collaboration Network,Reciprocity (Network Science),0
2070,Scientific Collaboration Network,S2Cid (Identifier),0
2071,Scientific Collaboration Network,Sir Model,0
2072,Scientific Collaboration Network,Scale-Free Network,0
2073,Scientific Collaboration Network,Semantic Network,0
2074,Scientific Collaboration Network,Small-World Network,0
2075,Scientific Collaboration Network,Social Capital,0
2076,Scientific Collaboration Network,Social Influence,0
2077,Scientific Collaboration Network,Social Network,0
2078,Scientific Collaboration Network,Social Network Analysis Software,0
2079,Scientific Collaboration Network,Soft Configuration Model,0
